EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Ontario,Jack pine,Puget Lowland,Washington,,Forest: White/Red/Jack Pine Group,6.811170155
Atlantic Maritime,Quebec,Spruce - Genus type,Puget Lowland,Washington,,Forest: Spruce/Fir Group,4.641910923
Mixedwood Plains,Ontario,Pine - Genus type,Puget Lowland,Washington,,Forest: Longleaf/Slash Pine Group,19.62385795
Mixedwood Plains,Ontario,Pine - Genus type,Puget Lowland,Washington,,Forest: Loblolly/Shortleaf Pine Group,17.46892568
Montane Cordillera,British Columbia,Other softwoods,Puget Lowland,Washington,,Forest: Pinyon/Juniper Group,9.742678484
Pacific Maritime,British Columbia,Douglas-fir - Genus type,Puget Lowland,Washington,,Forest: Douglas-fir Group,7.171776586
Montane Cordillera,British Columbia,Ponderosa pine,Puget Lowland,Washington,,Forest: Ponderosa Pine Group,7.55579544
Pacific Maritime,British Columbia,Western white pine,Puget Lowland,Washington,,Forest: Western White Pine Group,9.75290094
Montane Cordillera,British Columbia,Mountain hemlock,Puget Lowland,Washington,,Forest: Fir/Spruce/Mountain Hemlock Group,3.798353532
Montane Cordillera,British Columbia,Lodgepole pine,Puget Lowland,Washington,,Forest: Lodgepole Pine Group,3.142707974
Pacific Maritime,British Columbia,Sitka spruce,Puget Lowland,Washington,,Forest: Hemlock/Sitka Spruce Group,8.381982074
Montane Cordillera,British Columbia,Western larch,Puget Lowland,Washington,,Forest: Western Larch Group,5.310382372
Pacific Maritime,British Columbia,Other softwoods,Puget Lowland,Washington,,Forest: Redwood Group,12.69179953
Montane Cordillera,British Columbia,Other softwoods,Puget Lowland,Washington,,Forest: Other Western Softwood Group,2.471127521
Montane Cordillera,British Columbia,Other softwoods,Puget Lowland,Washington,,Forest: California Mixed Conifer Group,10.40072162
Montane Cordillera,British Columbia,Other softwoods,Puget Lowland,Washington,,Forest: Exotic Softwoods Group,7.625056197
Mixedwood Plains,Ontario,Oak,Puget Lowland,Washington,,Forest: Oak/Pine Group,16.79542472
Mixedwood Plains,Ontario,Hickory,Puget Lowland,Washington,,Forest: Oak/Hickory Group,13.22003596
Mixedwood Plains,Ontario,Cypress,Puget Lowland,Washington,,Forest: Oak/Gum/Cypress Group,18.3331676
Mixedwood Plains,Ontario,Ash,Puget Lowland,Washington,,Forest: Elm/Ash/Cottonwood Group,14.2323085
Atlantic Maritime,Quebec,Maple,Puget Lowland,Washington,,Forest: Maple/Beech/Birch Group,6.705746849
Boreal Shield West,Ontario,Birch,Puget Lowland,Washington,,Forest: Aspen/Birch Group,5.152320005
Pacific Maritime,British Columbia,Alder,Puget Lowland,Washington,,Forest: Alder/Maple Group,10.46871405
Montane Cordillera,British Columbia,Oak,Puget Lowland,Washington,,Forest: Western Oak Group,12.8927822
Pacific Maritime,British Columbia,Other hardwoods,Puget Lowland,Washington,,Forest: Tanoak/Laurel Group,13.12296373
Montane Cordillera,British Columbia,Other hardwoods,Puget Lowland,Washington,,Forest: Other Western Hardwoods Group,12.81139488
Mixedwood Plains,Ontario,Other hardwoods,Puget Lowland,Washington,,Forest: Tropical Hardwoods Group,22.07615093
Mixedwood Plains,Ontario,Other hardwoods,Puget Lowland,Washington,,Forest: Exotic Hardwoods Group,19.22953465
