Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth: Atmosphere -> Coarse Roots,1.0000,,,,,
,,,,,,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth: Atmosphere -> Fine Roots,1.0000,,,,,
,,,,,,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth: Atmosphere -> Foliage,1.0000,,,,,
,,,,,,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth: Atmosphere -> Merchantable,1.0000,,,,,
,,,,,,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth: Atmosphere -> Other Wood,1.0000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,1.0000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,1.0000,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,1.0000,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,1.0000,,,,,
,,,,,,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,1.0000,,,,,
,,,,,,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,1.0000,,,,,
,,,,,,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,1.0000,,,,,
,,,,,,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,1.0000,,,,,
,,,,,,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,1.0000,,,,,
,,,,,,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,1.0000,,,,,
,,,,,,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,1.0000,,,,,
,,,,,,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,1.0000,,,,,
,,,,,,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,1.0000,,,,,
,,,,,,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,1.0000,,,,,
,,,,,,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,1.0000,,,,,
,,,,,,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,1.0000,,,,,
,,,,,,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,1.0000,,,,,
,,,,,,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,1.0000,,,,,
,,,,,,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,1.0000,,,,,
