Iteration,Timestep,FlowTypeID,Order
,,Transfer: Snag Branch -> AG Fast,3
,,Transfer: Snag Stem -> AG Medium,3
,,Decay: AG Medium -> AG Slow,4
,,Decay: Snag Branch -> AG Slow,4
,,Decay: Snag Stem -> AG Slow,4
,,Emission: AG Medium -> Atmosphere,4
,,Emission: Snag Branch -> Atmosphere,4
,,Emission: Snag Stem -> Atmosphere,4
,,Emission: BG Slow -> Atmosphere,5
,,Biomass Turnover: Coarse Roots -> AG Fast,6
,,Biomass Turnover: Coarse Roots -> BG Fast,6
,,Biomass Turnover: Fine Roots -> AG Very Fast,6
,,Biomass Turnover: Fine Roots -> BG Very Fast,6
,,Biomass Turnover: Foliage -> AG Very Fast,6
,,Biomass Turnover: Merchantable -> Snag Stems,6
,,Biomass Turnover: Other Wood -> AG Fast,6
,,Biomass Turnover: Other Wood -> Snag Branches,6
,,Decay: AG Fast -> AG Slow,6.5
,,Decay: AG Very Fast -> AG Slow,6.5
,,Decay: BG Fast -> BG Slow,6.5
,,Decay: BG Very Fast -> BG Slow,6.5
,,Emission: AG Fast -> Atmosphere,6.5
,,Emission: AG Very Fast -> Atmosphere,6.5
,,Emission: BG Fast -> Atmosphere,6.5
,,Emission: BG Very Fast -> Atmosphere,6.5
,,Emission: AG Slow -> Atmosphere,6.6
,,Transfer: AG Slow -> BG Slow,6.7
,,Net Growth: Atmosphere -> Coarse Roots,7
,,Net Growth: Atmosphere -> Fine Roots,7
,,Net Growth: Atmosphere -> Foliage,7
,,Net Growth: Atmosphere -> Merchantable,7
,,Net Growth: Atmosphere -> Other Wood,7
,,LULC: Emission,10
,,LULC: Transfer,10
,,LULC: Harvest,11
,,LULC: Mortality,11
